protein_id,function_description,go_terms
Q13286,Involved in DNA damage checkpoint and repair via recruitment to double-strand breaks,GO:0003684|GO:0006974|GO:0030330
P08218,Acts upon elastin,GO:0005576|GO:0005615|GO:0004252|GO:0006508
Q7Z410,"Serase-1 and serase-2 are serine proteases that hydrolyze the peptides N-t-Boc-Gln-Ala-Arg-AMC and N-t-Boc-Gln-Gly-Arg-AMC. In contrast, N-t-Boc-Ala-Phe-Lys-AMC and N-t-Boc-Ala-Pro-Ala-AMC are not significantly hydrolyzed",GO:0005886|GO:0004252|GO:0006508
A0PK11,Plays a key role to hearing function. Required for normal organization and maintenance of the stereocilia bundle and for mechano-electrical transduction,GO:0032421|GO:0060171|GO:0060088|GO:0007605|GO:0120045
A7XYQ1,Implicated in development of the cochlea,GO:0005634|GO:0032184|GO:0008270|GO:0048513|GO:0090102|GO:0050890|GO:0042472|GO:0007626|GO:0007605
O15511,"Component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF) (PubMed:9230079). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility (PubMed:9230079). In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA (PubMed:29925947). The Arp2/3 complex promotes homologous recombination (HR) repair in response to DNA damage by promoting nuclear actin polymerization, leading to drive motility of double-strand breaks (DSBs) (PubMed:29925947)",GO:0015629|GO:0005885|GO:0005737|GO:0005829|GO:0070062|GO:0005576|GO:1904813|GO:0005925|GO:0030027|GO:0005634|GO:0034774|GO:0035861|GO:0003779|GO:0005200|GO:0030036|GO:0034314|GO:0016477|GO:0030833
P84243,"Variant histone H3 which replaces conventional H3 in a wide range of nucleosomes in active genes. Constitutes the predominant form of histone H3 in non-dividing cells and is incorporated into chromatin independently of DNA synthesis. Deposited at sites of nucleosomal displacement throughout transcribed genes, suggesting that it represents an epigenetic imprint of transcriptionally active chromatin. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling",GO:0001740|GO:0000781|GO:0070062|GO:0005576|GO:0000939|GO:0005654|GO:0000786|GO:0005634|GO:0032991|GO:0031492|GO:0046982|GO:0000978|GO:0000979|GO:0030527|GO:0008283|GO:0007566|GO:0008584|GO:0035264|GO:0042692|GO:1902340|GO:0006334|GO:0006997|GO:0001556|GO:0001649|GO:0031508|GO:0030307|GO:0090230|GO:0007338|GO:0007286|GO:0031509|GO:0032200
Q06738,Involved in responses to abiotic stresses (PubMed:21374086). Regulates probably root elongation in cold conditions (PubMed:19470100),GO:0005737|GO:0005829|GO:0009536|GO:0007623|GO:0042538|GO:0010150|GO:2000280|GO:0009737|GO:0009409|GO:0010555|GO:0006970|GO:0000302|GO:1902074|GO:0009651|GO:0009609|GO:0009414|GO:0009611
O60909,Responsible for the synthesis of complex-type N-linked oligosaccharides in many glycoproteins as well as the carbohydrate moieties of glycolipids (PubMed:9405390). Can produce lactose (PubMed:9405390),GO:0005794|GO:0032580|GO:0000139|GO:0043231|GO:0005654|GO:0003831|GO:0008378|GO:0004461|GO:0046872|GO:0003945|GO:0005975|GO:0021680|GO:0070085|GO:0007626|GO:0007613|GO:0006486|GO:0008542
Q9BPX6,"Calcium sensor of the mitochondrial calcium uniporter (MCU) channel, which senses calcium level via its EF-hand domains (PubMed:20693986, PubMed:23101630, PubMed:23747253, PubMed:24313810, PubMed:24332854, PubMed:24503055, PubMed:24560927, PubMed:26341627, PubMed:26903221, PubMed:27099988, PubMed:28615291, PubMed:30454562, PubMed:30638448, PubMed:32494073, PubMed:32667285, PubMed:32762847, PubMed:32790952, PubMed:34463251, PubMed:36206740, PubMed:37036971, PubMed:37126688). MICU1 and MICU2 (or MICU3) form a disulfide-linked heterodimer that stimulates and inhibits MCU activity, depending on the concentration of calcium (PubMed:24560927, PubMed:26903221, PubMed:28615291, PubMed:32148862, PubMed:32494073, PubMed:32667285, PubMed:32762847, PubMed:32790952, PubMed:36206740, PubMed:37036971, PubMed:37126688). At low calcium levels, MICU1 occludes the pore of the MCU channel, preventing mitochondrial calcium uptake (PubMed:32494073, PubMed:32667285, PubMed:32762847, PubMed:37036971, PubMed:37126688). At higher calcium levels, calcium-binding to MICU1 and MICU2 (or MICU3) induces a conformational change that weakens MCU-MICU1 interactions and moves the MICU1-MICU2 heterodimer away from the pore, allowing calcium permeation through the MCU channel (PubMed:32494073, PubMed:32667285, PubMed:32762847). Also required to protect against manganese toxicity by preventing manganese uptake by MCU: mechanistically, manganese-binding to its EF-hand domains does not induce any conformational change, maintaining MCU pore occlusion (PubMed:30082385, PubMed:30403999). Also acts as a barrier for inhibitors of the MCU channel, such as ruthenium red or its derivative Ru360 (PubMed:37244260). Acts as a regulator of mitochondrial cristae structure independently of its ability to regulate the mitochondrial calcium uniporter channel (PubMed:31427612, PubMed:37098122). Regulates glucose-dependent insulin secretion in pancreatic beta-cells by regulating mitochondrial calcium uptake (PubMed:22904319). Induces T-helper 1-mediated autoreactivity, which is accompanied by the release of IFNG (PubMed:16002733)",GO:0034704|GO:0044284|GO:0005743|GO:0005758|GO:0031966|GO:0005739|GO:1990246|GO:0019855|GO:0005246|GO:0005509|GO:0061891|GO:0042802|GO:0046982|GO:0036444|GO:0070509|GO:0071277|GO:0072732|GO:0006952|GO:0051560|GO:0006851|GO:1903852|GO:0051561|GO:0051260|GO:1900069
